2023/03/19,17636634531679217659352;17636634531679211291370,17:21-17:43;15:34-15:55,42.0,6300,0
2023/04/15,17636634531681521269748;17636634531681532006227;17636634531681530249375,09:14-09:20;12:13-12:21;11:44-11:56,25.0,3750,0
2023/04/14,17636634531681461021019,16:30-18:22,111.0,16650,0
2023/04/11,17636634531681178034295,09:53-10:03,9.0,1350,0
2023/04/09,17636634531681046027154,21:13-23:25,131.0,19650,0
2023/04/19,17636634531681861448967;17636634531681902142578;17636634531681864130295,07:44-07:53;19:02-23:01;08:28-08:34,253.0,37950,1
2023/04/18,17636634531681818351198;17636634531681815835545;17636634531681774042805,19:45-21:48;19:04-19:22;07:27-07:44,157.0,23550,1
2023/04/17,17636634531681738539636;17636634531681734057218;17636634531681717786895;17636634531681713803960,21:35-21:47;20:21-20:29;15:49-17:45;14:43-14:59,150.0,22500,1
2023/04/21,17636634531682074354867;17636634531682071568168;17636634531682036915062;17636634531682034250019,18:52-20:10;18:06-18:15;08:28-08:41;07:44-07:51,104.0,15600,1
2023/04/20,17636634531681987886895;17636634531681985185272;17636634531681951557113;17636634531681948520941,18:51-21:35;18:06-18:13;08:45-08:53;07:55-08:04,185.0,27750,1
2023/04/25,17636634531682383772479;17636634531682380226618;17636634531682420547586;17636634531682417321554,08:49-08:55;07:50-08:11;19:02-19:57;18:08-18:15,85.0,12750,0
2023/04/24,17636634531682334633777;17636634531682297594830;17636634531682294631767,19:10-19:56;08:53-09:02;08:03-08:10,62.0,9300,0
2023/04/23,17636634531682256688988;17636634531682247430609;17636634531682244858761;17636634531682210827993;17636634531682207480601,21:31-21:39;18:57-19:30;18:14-18:19;08:47-09:05;07:51-07:57,68.0,10200,0
2023/04/27,17636634531682591046385;17636634531682557855350;17636634531682554064539;17636634531682598106239,18:24-20:20;09:10-09:21;08:08-08:27;20:21-22:17,260.0,39000,1
2023/04/26,17636634531682508424952;17636634531682507947281;17636634531682505324483;17636634531682471141971;17636634531682467533499,19:27-21:10;19:19-19:26;18:35-19:18;09:05-09:10;08:05-08:24,176.0,26400,1
2023/05/02,17636634531682995105717;17636634531683001485608,10:39-11:26;12:24-12:30,52.0,7800,0
2023/05/01,17636634531682935937004;17636634531682925111491;17636634531682922602441,18:12-18:23;15:11-15:18;14:30-14:49,36.0,5400,0
2023/04/30,17636634531682861870808,21:37-23:38,120.0,18000,1
2023/04/28,17636634531682687068229;17636634531682678965145;17636634531682645626058;17636634531682643110442,21:04-22:44;18:49-20:25;09:33-09:38;08:51-08:57,205.0,30750,1
2021/06/27,17636634531624761094931;17636634531624791208229;17636634531624779672467;17636634531624777577850,10:31-10:38;18:53-19:19;15:41-15:53;15:06-15:11,48.0,5760,0
2021/06/26,17636634531624718630691,22:43-22:49,5.0,600,0
2021/06/25,17636634531624627023406,21:17-21:20,3.0,360,0
2021/06/24,17636634531624542466205;17636634531624496657469;17636634531624496466875,21:47-21:50;09:04-09:05;09:01-09:01,3.0,360,0
2021/06/23,17636634531624409449276,08:50-08:53,3.0,360,0
2021/06/22,17636634531624367909078;17636634531624354244258;17636634531624352927021,21:18-21:34;17:30-17:55;17:08-17:15,46.0,5520,0
2023/05/05,17636634531683282531029;17636634531683249053153;17636634531683246366328;17636634531683285381410,18:28-18:37;09:10-09:16;08:26-08:32;19:16-19:35,38.0,5700,0
2023/05/04,17636634531683183797695;17636634531683181345949;17636634531683163032946;17636634531683159421248,15:03-15:13;14:22-14:30;09:17-09:23;08:17-08:35,41.0,6150,0
2023/05/03,17636634531683106223244;17636634531683087586854,17:30-17:33;12:19-12:24,7.0,1050,0
2023/05/08,17636634531683543994681;17636634531683541392168;17636634531683507966407;17636634531683505273889,19:06-19:37;18:23-18:35;09:06-09:13;08:27-08:29,49.0,7350,0
2023/05/06,17636634531683378218823;17636634531683371314723;17636634531683368523257;17636634531683335314750;17636634531683332470634,21:03-22:07;19:08-20:45;18:22-18:32;09:08-09:18;08:21-08:28,186.0,27900,1
2023/05/11,17636634531683763304346;17636634531683803244335;17636634531683800600167;17636634531683767031366,08:01-08:23;19:07-19:45;18:23-18:28;09:03-09:12,71.0,10650,0
2023/05/10,17636634531683717308138;17636634531683714360849;17636634531683680964352;17636634531683677171836,19:15-19:58;18:26-18:40;09:09-09:18;08:06-08:31,88.0,13200,0
